[2025-04-14T05:59:38.718+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments manual__2025-04-14T00:00:00+00:00 [queued]>
[2025-04-14T05:59:38.721+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments manual__2025-04-14T00:00:00+00:00 [queued]>
[2025-04-14T05:59:38.721+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2025-04-14T05:59:38.725+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): collect_comments> on 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:38.727+0000] {standard_task_runner.py:60} INFO - Started process 2442 to run task
[2025-04-14T05:59:38.728+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'youtube_comment_pipeline_us_stocks_daily', 'collect_comments', 'manual__2025-04-14T00:00:00+00:00', '--job-id', '404', '--raw', '--subdir', 'DAGS_FOLDER/youtube_comment_pipeline.py', '--cfg-path', '/tmp/tmpadyudo4v']
[2025-04-14T05:59:38.730+0000] {standard_task_runner.py:88} INFO - Job 404: Subtask collect_comments
[2025-04-14T05:59:38.747+0000] {task_command.py:423} INFO - Running <TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments manual__2025-04-14T00:00:00+00:00 [running]> on host 9d8a82da5923
[2025-04-14T05:59:38.776+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='youtube_comment_pipeline_us_stocks_daily' AIRFLOW_CTX_TASK_ID='collect_comments' AIRFLOW_CTX_EXECUTION_DATE='2025-04-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-14T00:00:00+00:00'
[2025-04-14T05:59:38.782+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:315 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-14T05:59:39.078+0000] {logging_mixin.py:188} INFO - 2025-04-09 20:13:43+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.079+0000] {logging_mixin.py:188} INFO - 2025-04-13 20:41:04+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.079+0000] {logging_mixin.py:188} INFO - 2025-04-13 20:23:40+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.080+0000] {logging_mixin.py:188} INFO - 2025-04-13 19:52:13+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.080+0000] {logging_mixin.py:188} INFO - 2025-04-13 19:24:06+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.080+0000] {logging_mixin.py:188} INFO - 2025-04-13 18:52:50+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.080+0000] {logging_mixin.py:188} INFO - 2025-04-13 17:50:02+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.081+0000] {logging_mixin.py:188} INFO - 2025-04-13 14:48:53+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.081+0000] {logging_mixin.py:188} INFO - 2025-04-13 12:52:57+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.081+0000] {logging_mixin.py:188} INFO - 2025-04-13 11:11:13+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.081+0000] {logging_mixin.py:188} INFO - 2025-04-13 10:07:28+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.082+0000] {logging_mixin.py:188} INFO - 2025-04-13 09:16:43+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.082+0000] {logging_mixin.py:188} INFO - 2025-04-13 08:41:38+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.082+0000] {logging_mixin.py:188} INFO - 2025-04-13 00:18:47+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.082+0000] {logging_mixin.py:188} INFO - 2025-04-12 22:12:59+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 20:45:42+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 20:24:38+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 20:17:16+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 19:44:59+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 19:39:17+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.083+0000] {logging_mixin.py:188} INFO - 2025-04-12 18:52:52+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.084+0000] {logging_mixin.py:188} INFO - 2025-04-12 18:34:57+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.084+0000] {logging_mixin.py:188} INFO - 2025-04-12 18:31:03+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.084+0000] {logging_mixin.py:188} INFO - 2025-04-12 17:45:50+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.084+0000] {logging_mixin.py:188} INFO - 2025-04-12 17:07:40+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.084+0000] {logging_mixin.py:188} INFO - 2025-04-12 17:06:08+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.085+0000] {logging_mixin.py:188} INFO - 2025-04-12 16:34:23+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.085+0000] {logging_mixin.py:188} INFO - 2025-04-12 15:52:53+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.085+0000] {logging_mixin.py:188} INFO - 2025-04-12 15:37:43+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.085+0000] {logging_mixin.py:188} INFO - 2025-04-12 15:20:32+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.085+0000] {logging_mixin.py:188} INFO - 2025-04-12 14:52:45+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.086+0000] {logging_mixin.py:188} INFO - 2025-04-12 13:31:44+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.086+0000] {logging_mixin.py:188} INFO - 2025-04-12 12:19:40+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
[2025-04-14T05:59:39.086+0000] {logging_mixin.py:188} INFO - 2025-04-12 12:06:19+00:00 2025-04-13 00:00:00+00:00 2025-04-14 00:00:00+00:00
