[2025-04-14T02:03:30.562+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [queued]>
[2025-04-14T02:03:30.565+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [queued]>
[2025-04-14T02:03:30.565+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-04-14T02:03:30.569+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): collect_comments> on 2025-04-13 00:00:00+00:00
[2025-04-14T02:03:30.570+0000] {standard_task_runner.py:60} INFO - Started process 212 to run task
[2025-04-14T02:03:30.572+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'youtube_comment_pipeline_us_stocks_daily', 'collect_comments', 'scheduled__2025-04-13T00:00:00+00:00', '--job-id', '332', '--raw', '--subdir', 'DAGS_FOLDER/youtube_comment_pipeline.py', '--cfg-path', '/tmp/tmp62mems61']
[2025-04-14T02:03:30.573+0000] {standard_task_runner.py:88} INFO - Job 332: Subtask collect_comments
[2025-04-14T02:03:30.591+0000] {task_command.py:423} INFO - Running <TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [running]> on host 9d8a82da5923
[2025-04-14T02:03:30.619+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='youtube_comment_pipeline_us_stocks_daily' AIRFLOW_CTX_TASK_ID='collect_comments' AIRFLOW_CTX_EXECUTION_DATE='2025-04-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-13T00:00:00+00:00'
[2025-04-14T02:03:30.626+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:315 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-14T02:05:00.864+0000] {logging_mixin.py:188} INFO -  Collected 106 comments.
[2025-04-14T02:05:00.865+0000] {python.py:201} INFO - Done. Returned value was: None
[2025-04-14T02:05:00.874+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=youtube_comment_pipeline_us_stocks_daily, task_id=collect_comments, execution_date=20250413T000000, start_date=20250414T020330, end_date=20250414T020500
[2025-04-14T02:05:00.904+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2025-04-14T02:05:00.919+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-04-20T02:24:59.922+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [queued]>
[2025-04-20T02:24:59.927+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [queued]>
[2025-04-20T02:24:59.928+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-04-20T02:24:59.938+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): collect_comments> on 2025-04-13 00:00:00+00:00
[2025-04-20T02:24:59.954+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'youtube_comment_pipeline_us_stocks_daily', 'collect_comments', 'scheduled__2025-04-13T00:00:00+00:00', '--job-id', '566', '--raw', '--subdir', 'DAGS_FOLDER/youtube_comment_pipeline.py', '--cfg-path', '/tmp/tmpqoa8t_k3']
[2025-04-20T02:24:59.957+0000] {standard_task_runner.py:88} INFO - Job 566: Subtask collect_comments
[2025-04-20T02:24:59.953+0000] {standard_task_runner.py:60} INFO - Started process 2244 to run task
[2025-04-20T02:25:00.011+0000] {task_command.py:423} INFO - Running <TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-13T00:00:00+00:00 [running]> on host 7e480c288e12
[2025-04-20T02:25:00.085+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='youtube_comment_pipeline_us_stocks_daily' AIRFLOW_CTX_TASK_ID='collect_comments' AIRFLOW_CTX_EXECUTION_DATE='2025-04-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-13T00:00:00+00:00'
[2025-04-20T02:25:00.100+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:315 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-20T02:25:00.345+0000] {logging_mixin.py:188} INFO - Published: 2025-04-19 11:04:06+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.345+0000] {logging_mixin.py:188} INFO - Published: 2025-04-18 19:08:55+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.345+0000] {logging_mixin.py:188} INFO - Published: 2025-04-17 15:27:58+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-16 18:48:15+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-15 17:41:55+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 12:29:55+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 08:28:33+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 08:00:26+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 06:40:53+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 03:59:51+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-14 00:15:45+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.346+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 22:39:00+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 22:15:56+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 19:31:22+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 19:29:08+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 19:24:08+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 19:16:14+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 12:53:18+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.347+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 12:40:41+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.348+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 12:40:31+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.348+0000] {logging_mixin.py:188} INFO - Published: 2025-04-13 02:29:14+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.348+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 21:20:04+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.348+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 21:11:21+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.348+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 17:01:32+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.349+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 13:47:48+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.349+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 13:27:43+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
[2025-04-20T02:25:00.349+0000] {logging_mixin.py:188} INFO - Published: 2025-04-12 10:23:53+00:00 | Start: 2025-04-13 00:00:00+00:00 | End: 2025-04-14 00:00:00+00:00
